# List of fingerprinting JS functions.
#Name function, flag (0=expanded 1=not expanded)
navigator.userAgent,0
.userAgent,1
userAgent,1

navigator.appCodeName,0
.appCodeName,1
appCodeName,1

navigator.product,0
.product,1
product,1

navigator.productSub,0
.productSub,1
productSub,1

navigator.vendor,0
.vendor,1
vendor,1

navigator.vendorSub,0
.vendorSub,1
vendorSub,1

navigator.onLine,0
.onLine,1
onLine,1

navigator.appVersion,0
.appVersion,1
appVersion,1

navigator.language,0
.language,1
language,1

navigator.plugins.name,0
.plugins.name,1
.name,1
name,1

navigator.plugins.filename,0
.plugins.filename,1
.filename,1
filename,1

navigator.plugins.description,0
.plugins.description,1
.description,1
description,1

navigator.plugins.length,0
.plugins.length,1
.length,1
length,1

navigator.mimeTypes,0
.mimeTypes,1
mimeTypes,1

navigator.cookieEnabled(),0
.cookieEnabled(),1
cookieEnabled(),1

navigator.cookieEnabled,0
.cookieEnabled,1
cookieEnabled,1

navigator.javaEnabled(),0
.javaEnabled(),1
javaEnabled(),1

navigator.javaEnabled,0
.javaEnabled,1
javaEnabled,1

navigator.mimeTypes.enabledPlugin,0
.mimeTypes.enabledPlugin,1
.enabledPlugin,1
enabledPlugin,1

navigator.mimeTypes.description,0
.mimeTypes.description,1
# ".description" already in list

navigator.mimeTypes.suffixes,0
.mimeTypes.suffixes,1
.suffixes,1
suffixes,1

navigator.mimeTypes.type,0
.mimeTypes.type,1
.type,1
type,1

navigator.doNotTrack,0
.doNotTrack,1
doNotTrack,1

window.screen.horizontalDPI,0
.screen.horizontalDPI,1
.horizontalDPI,1
horizontalDPI,1

window.screen.verticalDPI,0
.screen.verticalDPI,1
.verticalDPI,1
verticalDPI,1

window.screen.height,0
.screen.height,1
.height,1
height,1

window.screen.width,0
.screen.width,1
.width,1
width,1

window.screen.colorDepth,0
.screen.colorDepth,1
.colorDepth,1
colorDepth,1

window.screen.pixelDepth,0
.screen.pixelDepth,1
.pixelDepth,1
pixelDepth,1

window.screen.availLeft,0
.screen.availLeft,1
.availLeft,1
availLeft,1

window.screen.availTop,0
.screen.availTop,1
.availTop,1
availTop,1

window.screen.availHeight,0
.screen.availHeight,1
.availHeight,1
availHeight,1

window.screen.availWidth,0
.screen.availWidth,1
.availWidth,1
availWidth,1

new Date().getTimezoneOffset(),0
.getTimezoneOffset(),1
getTimezoneOffset(),1

new Date().getTimezoneOffset,0
.getTimezoneOffset,1
getTimezoneOffset,1
